[19-Apr-2020 09:55:25 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_login' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:55:25 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_booking' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:55:25 UTC] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\wordpress\wp-includes\plugin.php on line 929
[19-Apr-2020 09:55:25 UTC] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\wordpress\wp-includes\plugin.php on line 929
[19-Apr-2020 09:55:25 UTC] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\wordpress\wp-includes\plugin.php on line 929
[19-Apr-2020 09:55:27 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_login' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:55:27 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_booking' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:55:27 UTC] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\wordpress\wp-includes\plugin.php on line 929
[19-Apr-2020 09:55:29 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_login' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:55:29 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_booking' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:55:29 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_login' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:55:29 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_booking' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:55:30 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_login' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:55:30 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_booking' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 09:55:30 UTC] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\wordpress\wp-includes\plugin.php on line 929
[19-Apr-2020 09:55:30 UTC] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\wordpress\wp-includes\plugin.php on line 929
[19-Apr-2020 09:55:31 UTC] PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\wordpress\wp-includes\plugin.php on line 929
[19-Apr-2020 14:43:58 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\wordpress\wp-content\plugins\woocommerce\src\Packages.php on line 10
[19-Apr-2020 14:47:39 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_login' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 14:47:39 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_booking' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 14:47:44 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\wordpress\wp-content\plugins\elementor\modules\page-templates\module.php on line 13
[19-Apr-2020 14:48:01 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_login' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 14:48:01 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_booking' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 14:48:23 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\wordpress\wp-content\themes\astra\functions.php on line 260
[19-Apr-2020 14:48:23 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\wordpress\wp-content\themes\astra\functions.php on line 260
[19-Apr-2020 14:48:23 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\wordpress\wp-content\themes\astra\functions.php on line 260
[19-Apr-2020 14:48:23 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\wordpress\wp-content\themes\astra\functions.php on line 260
[19-Apr-2020 14:48:23 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\wordpress\wp-content\themes\astra\functions.php on line 260
[19-Apr-2020 14:48:23 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\wordpress\wp-content\themes\astra\functions.php on line 260
[19-Apr-2020 14:48:23 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\wordpress\wp-content\themes\astra\functions.php on line 260
[19-Apr-2020 14:48:23 UTC] PHP Notice:  Undefined variable: user in C:\xampp\htdocs\wordpress\wp-content\themes\astra\functions.php on line 262
[19-Apr-2020 14:48:23 UTC] PHP Notice:  Undefined variable: user in C:\xampp\htdocs\wordpress\wp-content\themes\astra\functions.php on line 264
[19-Apr-2020 14:49:34 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_login' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 14:49:34 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'custom_booking' not found or invalid function name in C:\xampp\htdocs\wordpress\wp-includes\class-wp-hook.php on line 287
[19-Apr-2020 14:49:36 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\wordpress\wp-content\themes\astra\functions.php on line 260
[19-Apr-2020 14:49:36 UTC] PHP Notice:  Array to string conversion in C:\xampp\htdocs\wordpress\wp-content\themes\astra\functions.php on line 260
